event_id,group_id,name,time
243930425,26140018,2017 Nashville Walk to End Alzheimers - October 14th,14-10-2017 12:00
244208851,25604533,Steak Dinner on the Patio,15-10-2017 00:15
pxlktnywnbfb,25973656,Schedule Meetup,03-10-2017 23:30
244444551,18571126,"Happy Hour Wednesday, Jonathan's Green Hills, Oct. 25",25-10-2017 22:30
244257722,18571126,"Happy Hour Wednesday, Brentwood, Oct. 18",18-10-2017 22:30
243997614,18571126,"Cocktails at the Top, Brentwood ",12-10-2017 23:30
243711748,18571126,Happy Hour Wednesday ,28-09-2017 00:00
243587675,18571126,Tennessee Craft Fair on Sunday Afternoon 9/24,24-09-2017 18:00
243026202,18571126,3rd Weds. Lunch mixer at O'Charleys,20-09-2017 16:30
243475377,18571126,Trivia Night at Plantation Pub,19-09-2017 23:00
243026119,18571126,1st Tuesday Ladies Lunch at Chili's Bellevue,05-09-2017 16:30
242392448,18571126,Ladies Lunch at O'Charley'­s on Thursday,24-08-2017 16:30
241886029,18571126,3rd Weds. Networking Lunch Mixer at O'Charleys,16-08-2017 16:30
241730271,18571126,Lunch Mixer at O'Charley'­s on Thursday July 20,20-07-2017 16:30
240193613,18571126,Ladies Lunch Social at O'Charley'­s on Thursday June 1,01-06-2017 18:00
239944117,18571126,Cocktails & Networking at the Top May 17,17-05-2017 23:30
238479980,18571126,Ladies Lunch in Bellevue March 23 at 1 pm,23-03-2017 18:00
237736080,18571126,Ladies Lunch Feb. 16 at 1 pm,16-02-2017 19:00
234178292,18571126,Happy Hour Wednesdays at Jonathan's in Bellevue,19-10-2016 23:00
234008415,18571126,Happy Hour Wednesdays at Jonathan's in Bellevue Sept. 21,21-09-2016 23:00
233855117,18571126,Happy Hour Wednesdays at Jonathan's in Bellevue,07-09-2016 23:00
233579762,18571126,"Easy Beginner's Hike at Edwin Warner, Sun. 6:30",28-08-2016 23:30
233579670,18571126,Happy Hour Wednesday at Hilton Garden Inn Aug. 24,24-08-2016 22:30
233476897,18571126,"Easy Beginner's Hike at Edwin Warner, Sun. 6:30",21-08-2016 23:30
233235249,18571126,Happy Hour Wednesday at Hilton Garden Inn Aug. 10,10-08-2016 22:30
232668583,18571126,Networking Happy Hour at Hilton Garden Inn in Brentwood July 20,20-07-2016 22:30
232642712,18571126,Entrepreneurship in the 21st Century,16-07-2016 22:00
232543768,18571126,Networking Happy Hour at Hilton Garden Inn in Brentwood July 13,13-07-2016 22:30
231460443,18571126,"Skincare Workshop at Lotus Blooming Yoga in Bellevue, Sun, June 19",19-06-2016 19:00
231912692,18571126,Happy Hour Tonight!,15-06-2016 22:30
231274089,18571126,Lunch Mixer Thursday May 26,26-05-2016 18:00
231104506,18571126,Tennessee Ren Fest Saturday May 21,21-05-2016 14:30
231090426,18571126,Networking Happy Hour at Hilton Garden Inn in Brentwood May 18,18-05-2016 22:30
230900387,18571126,Lunch Mixer Thursday May 12,12-05-2016 18:00
230972361,18571126,Networking Happy Hour at Hilton Garden Inn in Brentwood May 11,11-05-2016 22:30
230934372,18571126,Just for Fun: Tennessee Ren Fest Saturday May 7,07-05-2016 14:30
239499597,18821254,The Basics of cloud Computing,28-06-2017 15:00
239945716,18821254,Carnegie Writers/Green Hills Library,24-06-2017 20:00
236180427,18821254,Wired Senior Workshop,19-01-2017 00:00
233471167,18821254,Wired Senior Workshop,27-10-2016 23:00
233830558,18821254,"Consider ""storytelling by resume""?",19-09-2016 13:00
232878772,18821254,Work on your LinkedIn Profile,08-08-2016 12:00
231005223,18821254,"""iPhoneBasics""",07-06-2016 16:30
230056380,18821254,Journaling/Blogging/Podcasting CraftContent 2016,09-04-2016 14:00
227618948,18821254,Communicating in The 21st Century,17-03-2016 23:00
227618936,18821254,Communicating in The 21st Century,01-03-2016 16:00
227044616,18821254,Communicating in The 21st Century,03-02-2016 00:30
226349699,18821254,Talk about the five steps to create a successful podcast,03-11-2015 01:00
244446326,20586888,"Happy Hour Wednesday, Jonathan's Green Hills, Oct. 25",25-10-2017 22:30
244262821,20586888,"Happy Hour Wednesday, Brentwood, Oct. 18",18-10-2017 22:30
243988264,20586888,Wine Down Thursday in Brentwood,12-10-2017 23:30
243869312,20586888,"Wine Down Thursday, Murfreesboro",05-10-2017 22:00
243711769,20586888,Happy Hour Wednesday ,28-09-2017 00:00
243240368,20586888,3rd Weds. Lunch mixer at O'Charleys,20-09-2017 16:30
243075137,20586888,1st Tuesday Ladies Lunch at Chili's Bellevue,05-09-2017 16:30
242775576,20586888,Lunch Mixer at O'Charley'­s on Thursday,24-08-2017 16:30
241779221,20586888,Networking Lunch at O'Charley'­­s Bellevue Thursday July 20,21-07-2017 04:30
240191942,20586888,"Ladies Lunch Social at O'Charley's Bellevue on Thursday, June 1",01-06-2017 18:00
240041511,20586888,Cocktails & Networking at the Top May 17,17-05-2017 23:30
234867689,20586888,****Meet me at the Business Boutique (2-day event)****,04-11-2016 13:30
234847818,20586888,First meet up *** Happy Hour***,26-10-2016 23:00
nvrmwnywnbzb,26290037,Come to this FREE meeting to learn more about our Digital Currency Software,20-10-2017
zmrsvnywnbkb,25924179,Schedule a Meetup,07-10-2017 22:00
243717563,26069682,Join the Essential Oil Journey (Evening Hours!),10-10-2017 23:00
zjjbvnywnbmb,26069682,Join The Essential Oil Journey,09-10-2017 15:00
243649886,24924087,Franklin/Nashville Parental Alienation Support,26-10-2017 23:30
242809790,24924087,Franklin/Nashville Parental Alienation Support,21-09-2017 23:30
242094947,24924087,Franklin/Nashville Parental Alienation Support,24-08-2017 23:30
241556640,24924087,Franklin/Nashville Parental Alienation Support,27-07-2017 23:30
240463114,24107423,Saturday June 3rd First Meetup For Witch's United,03-06-2017 16:00
pjpnwnywnbwb,26296592,Bring your business cards and be ready to tell about yourself,18-10-2017
thpnwnywnbwb,26296592,Bring your business cards and be ready to tell about yourself,18-10-2017
243191812,25828941,WORKSHOP EXCLUSIVELY FOR WOMEN: How Not to Run Out of Money in Retirement,10-10-2017 23:30
244176688,26207526,We're on!  Our first meetup opportunity is here!,16-10-2017 23:15
244260247,24811380,Free Music Day @ Schermerhorn!,21-10-2017 17:00
243952541,24811380,Southern Festival of Books,13-10-2017 17:00
242620496,24811380,Volunteer Opportunity @ Southern Festival of Books,30-09-2017 17:00
243534371,24811380,Kenny Loggins at Nashville Symphony,30-09-2017 00:00
241622756,24811380,Solar Eclipse Viewing Party & Festival @ Adventure Science Center,21-08-2017 15:00
242493691,24811380,"Flash Movie ""Girls Trip""",13-08-2017 20:00
241622468,24811380,Marigolds Author Coffee & Conversation @ The Avenue,29-07-2017 18:00
241361103,24811380,Lunch @ Salsa Puerto Rican and Latin Cuisine in the Gulch,22-07-2017 19:00
240244969,23972116,The Great Meeting,01-06-2017 17:00
nwnntnywnbgc,25996638,Tuesday Meeting,24-10-2017 12:00
cjvbwnywnbgc,25996638,Tuesday Networking,24-10-2017 12:00
nwnntnywnbwb,25996638,Tuesday Meeting,17-10-2017 12:00
cjvbwnywnbwb,25996638,Tuesday Networking,17-10-2017 12:00
nwnntnywnbnb,25996638,Tuesday Meeting,10-10-2017 12:00
nwnntnywnbfb,25996638,Tuesday Meeting,03-10-2017 12:00
zwgntnywnbjc,25988957,Motivate and support other diabetics on their path to greater well-being.,27-10-2017
zwgntnywnbzb,25988957,Motivate and support other diabetics on their path to greater well-being.,20-10-2017
241215543,24750651,Tennessee Brew Works- first meeting!,19-07-2017 00:30
244479480,26282355,Moss Wright Park Meetup,28-10-2017 12:30
244293547,26282355,Moss Right Park,21-10-2017 13:00
244246979,26282355,Moss Right Park,17-10-2017 23:00
241173421,23968092,Picnic and Hack at Old Stone Fort,08-07-2017 18:00
240970877,23968092,Farm and Trivia,28-06-2017 23:00
244441929,25707458,Baby Wearing and Stroller (off road) Hike,24-10-2017 15:00
243852102,25707458,Baby Wearing Hike 10/3,03-10-2017 15:00
243658466,25707458,Baby Wearing Group Hike ,26-09-2017 15:00
243468926,25707458,Wed 9/20 Baby Wearing Group Hike,20-09-2017 15:00
242971373,25707458,Denise Vaughn's Baby Wearing Group Hike,06-09-2017 15:00
233512149,20337962,An Evening of Grace and Conversation,10-09-2016
243739470,26079417,Nashville IIBA 2017 Professional Day - Game Changer,25-10-2017 13:00
wnbpkmywnbkc,21651228,"Create  music, video , graphics content for stereo vison.",27-10-2017 22:00
wnbpkmywmbmc,21651228,"Create  music, video , graphics content for stereo vison.",29-09-2017 22:00
wnbpkmywlbhc,21651228,"Create  music, video , graphics content for stereo vison.",25-08-2017 22:00
wnbpkmywkblc,21651228,"Create  music, video , graphics content for stereo vison.",28-07-2017 22:00
wnbpkmywjbnc,21651228,"Create  music, video , graphics content for stereo vison.",30-06-2017 22:00
wnbpkmywhbjc,21651228,"Create  music, video , graphics content.",26-05-2017 22:00
wnbpkmywgblc,21651228,"Create  music, video , graphics content for stereo vison.",28-04-2017 22:00
wnbpkmywfbpc,21651228,"Create  music, video , graphics content for stereo vision.",31-03-2017 22:00
wnbpkmywfbgb,21651228,Communicate  your audatious  and unique ideas to me in advance.,04-03-2017 18:00
wnbpkmywdbgb,21651228,Communicate  your audatious  A/V  music performance  ideas.,04-02-2017 18:00
243942299,26159186,Transplant meet up with cocktails,14-10-2017 23:00
244492876,25856788,Edwin Warner Park then Lunch!,29-10-2017 15:30
244322390,25856788,Saturday Afternoon Ride!,21-10-2017 20:00
243916863,25856788,First ride this Friday! (supposed to rain on the weekend),06-10-2017 15:30
243406210,25718653,How To Keep Hookah In Nashville,30-09-2017
243637412,25718653,HooKaH HeAdS UniTe!,30-09-2017
243392954,25718653,HooKaH HeAdS UniTe!,16-09-2017
243190553,25718653,Hookah heads First Meet Up.,15-09-2017
244125517,21245706,Introduction to the Landmark Forum,14-10-2017 19:00
242338932,21245706,Transform Tennessee River Valley Get Together,12-08-2017 21:00
237142654,21245706,1st Meetup,01-02-2017 01:00
238411140,21390741,Brews to beat the Brewers,15-04-2017 17:00
237329385,21390741,Catchers and Pitchers Report!.... Spring Training 1st Game,25-02-2017 18:00
237162810,21390741,Reds Caravan 2017,27-01-2017 23:30
241401020,24860224,Exploration into Foster Care,03-08-2017 23:30
